"Study","Site","Crop","X","Y","LC1Gau250","LC2Gau250","LC3Gau250","LC4Gau250","LC5Gau250","LC6Gau250","LC7Gau250","LC8Gau250","LC9Gau250","LC1Gau750","LC2Gau750","LC3Gau750","LC4Gau750","LC5Gau750","LC6Gau750","LC7Gau750","LC8Gau750","LC9Gau750","LC1Gau1250","LC2Gau1250","LC3Gau1250","LC4Gau1250","LC5Gau1250","LC6Gau1250","LC7Gau1250","LC8Gau1250","LC9Gau1250"
"Karp01","ARO","Lactuva sativa",-121.650583299999,36.89213333,0.0367932986568008,0.148096139575291,0.00490926621447589,0.674553768917079,6.58793899038236e-05,0.0360770247684044,0.0995046224780446,0,0,0.187287619885817,0.174200772116801,0.0228786766856772,0.33705116146976,0.00716846477402753,0.0183311385412939,0.253082166526625,0,0,0.208254864562411,0.19667035936191,0.0362399900702833,0.246141258427515,0.0124711403786776,0.016726686246382,0.283495700952821,0,0
"Karp01","BOT","Lactuva sativa",-121.4770333,36.55183333,0,0.075446470703155,3.92343291805079e-11,0.828929939697117,3.77881820117221e-09,0.00384453583813605,0.0917790499435394,0,0,0,0.0177188313680046,0.000342809488287563,0.923288911310189,0.00372976171950966,0.00839202037208621,0.0465276657419225,0,0,0,0.0119150486866443,0.000700024404302154,0.929845506670865,0.00861411780670926,0.00953172521673392,0.0393935772147449,0,0
"Karp01","DAM","Lactuva sativa",-121.5922,36.703733,0.00216479024285735,0.0109940311917775,0.000304099791692648,0.950512945335758,0,0.0261352886097946,0.00988884482811997,0,0,0.016411851254429,0.136681638449533,0.00883496507333022,0.6616222523744,0,0.0272749084501917,0.149174384398117,0,0,0.0148243066440671,0.19555958812418,0.00804509532461486,0.53552735681924,0,0.0222410370194303,0.223802616068468,0,0
"Karp01","DF","Lactuva sativa",-120.9222583,36.0246472199999,0.12492162807487,0.0529883276457153,0.0392430234933697,0.454406269521847,0.0104546568553214,0.317633638907015,0.000352455501861243,0,0,0.0456363428024541,0.122061824450112,0.105827251742226,0.459529742935355,0.128017848285203,0.105710359181711,0.0332166306029388,0,0,0.0339735209104154,0.139109085292235,0.0965544833160165,0.454065281079989,0.149571057109979,0.0742140023500754,0.0525125699412894,0,0
"Karp01","EC","Lactuva sativa",-120.9840694,36.08551389,0.0463280714194596,0.0626146287698754,0.0436400853284038,0.798466499619772,0.0342221005453902,0.0146925570624996,3.60572545990097e-05,0,0,0.0368212091412512,0.171273662760903,0.124009695562714,0.370439195804776,0.233736743791594,0.0583491332485325,0.00537035969022958,0,0,0.0323927677449282,0.16585315649816,0.118766825715875,0.344468189010471,0.273731128077455,0.0515461286599879,0.0132418042931229,0,0
"Karp01","ECA","Lactuva sativa",-120.9924333,36.08806667,0.0065621319389961,0.0442128996308349,0.0301666443814898,0.850943271979145,0.0522361986518732,0.0158773907711862,1.46264647459844e-06,0,0,0.02477878038107,0.151405860480052,0.12389239938215,0.416269501584754,0.223524820860231,0.0490469894352501,0.0110816478764932,0,0,0.0249693865350701,0.157425196969893,0.122914683639904,0.363777972431444,0.257026641684937,0.0535553534420142,0.0203307652967369,0,0
"Karp01","ECR","Lactuva sativa",-120.9769667,36.0844499999999,0.0581360516321248,0.372942361072972,0.11498592880785,0.313875764432646,0.0757497236104019,0.0587552025488842,0.0055549678951212,0,0,0.052327617466266,0.210939681508254,0.146312366387005,0.322282573999042,0.200431990238117,0.0631648984099899,0.00454087199132597,0,0,0.0407217922150085,0.175170179482272,0.122614216564588,0.354996958134395,0.243044853442372,0.0525216796578522,0.0109303205035128,0,0
"Karp01","GRV","Lactuva sativa",-121.78395,36.98553333,0.255418794961728,0.114650580802553,0.109599995851665,0.173910194965351,0.277265636963587,0.00813597541667336,0.0610188210384417,0,0,0.285563782654369,0.0922700586231127,0.0373099554482182,0.13475682768412,0.274197932131704,0.00936298698275079,0.166538456475724,0,0,0.274807664721723,0.110651618789879,0.0301185839545968,0.123870758787198,0.237933658443589,0.00899644293815456,0.213621272364859,0,0
"Karp01","LE","Lactuva sativa",-121.779875,36.9855,0.163128945273598,0.0625876862575288,0.0382692262687161,0.229156604918718,0.333743390327522,0.0236804124828879,0.149433734471029,0,0,0.244180605560696,0.085228808118777,0.0305672251029004,0.174051682413111,0.268427025126031,0.0129444785269955,0.184600175151489,0,0,0.272789144950092,0.102568871900012,0.0277723200262954,0.148274100061239,0.232831993529245,0.0101135016173523,0.205650067915764,0,0
"Karp01","LT","Lactuva sativa",-121.3313778,36.8767555599999,0.00419020011064791,0.0284119308364566,7.62448969014275e-17,0.955475355497283,1.21282443530601e-07,0.00931664242910936,0.00260574984405986,0,0,0.0393296460927921,0.370983070005431,1.65792950139185e-05,0.530054598296112,0.00623153588464131,0.0166366896026288,0.0367478808233809,0,0,0.0425822707187854,0.498234363576299,7.48746097402406e-05,0.37755182383758,0.0097109965341745,0.0121594479635488,0.0596862227598721,0,0
